time,users_inf
2020-05-29 11:00:00,178
2020-05-29 12:00:00,192
2020-05-29 13:00:00,217
2020-05-29 14:00:00,266
2020-05-29 15:00:00,271
2020-05-29 16:00:00,227
2020-05-29 17:00:00,233
2020-05-29 18:00:00,226
2020-05-29 19:00:00,428
2020-05-29 20:00:00,621
2020-05-29 21:00:00,596
2020-05-29 22:00:00,502
2020-05-29 23:00:00,547
2020-05-30 00:00:00,440
2020-05-30 01:00:00,389
2020-05-30 02:00:00,402
2020-05-30 03:00:00,411
2020-05-30 04:00:00,455
2020-05-30 05:00:00,437
2020-05-30 06:00:00,437
2020-05-30 07:00:00,635
2020-05-30 08:00:00,759
2020-05-30 09:00:00,616
2020-05-30 10:00:00,406
2020-05-30 11:00:00,382
2020-05-30 12:00:00,352
2020-05-30 13:00:00,369
2020-05-30 14:00:00,462
2020-05-30 15:00:00,437
2020-05-30 16:00:00,393
2020-05-30 17:00:00,254
2020-05-30 18:00:00,445
2020-05-30 19:00:00,499
2020-05-30 20:00:00,403
2020-05-30 21:00:00,346
2020-05-30 22:00:00,310
2020-05-30 23:00:00,348
2020-05-31 00:00:00,392
2020-05-31 01:00:00,455
2020-05-31 02:00:00,466
2020-05-31 03:00:00,562
2020-05-31 04:00:00,772
2020-05-31 05:00:00,829
2020-05-31 06:00:00,853
2020-05-31 07:00:00,769
2020-05-31 08:00:00,574
2020-05-31 09:00:00,483
2020-05-31 10:00:00,348
2020-05-31 11:00:00,318
2020-05-31 12:00:00,310
2020-05-31 13:00:00,306
2020-05-31 14:00:00,311
2020-05-31 15:00:00,347
2020-05-31 16:00:00,412
2020-05-31 17:00:00,592
2020-05-31 18:00:00,489
2020-05-31 19:00:00,422
2020-05-31 20:00:00,449
2020-05-31 21:00:00,402
2020-05-31 22:00:00,390
2020-05-31 23:00:00,383
2020-06-01 00:00:00,489
2020-06-01 01:00:00,365
2020-06-01 02:00:00,327
2020-06-01 03:00:00,319
2020-06-01 04:00:00,349
2020-06-01 05:00:00,380
2020-06-01 06:00:00,330
2020-06-01 07:00:00,280
2020-06-01 08:00:00,272
2020-06-01 09:00:00,230
2020-06-01 10:00:00,202
2020-06-01 11:00:00,187
2020-06-01 12:00:00,185
2020-06-01 13:00:00,297
2020-06-01 14:00:00,365
2020-06-01 15:00:00,539
2020-06-01 16:00:00,383
2020-06-01 17:00:00,458
2020-06-01 18:00:00,406
2020-06-01 19:00:00,351
2020-06-01 20:00:00,293
2020-06-01 21:00:00,392
2020-06-01 22:00:00,380
2020-06-01 23:00:00,466
2020-06-02 00:00:00,522
2020-06-02 01:00:00,499
2020-06-02 02:00:00,418
2020-06-02 03:00:00,359
2020-06-02 04:00:00,364
2020-06-02 05:00:00,434
2020-06-02 06:00:00,402
2020-06-02 07:00:00,414
2020-06-02 08:00:00,353
2020-06-02 09:00:00,272
2020-06-02 10:00:00,169
2020-06-02 11:00:00,191
2020-06-02 12:00:00,171
2020-06-02 13:00:00,151
2020-06-02 14:00:00,256
2020-06-02 15:00:00,321
2020-06-02 16:00:00,313
2020-06-02 17:00:00,305
2020-06-02 18:00:00,290
2020-06-02 19:00:00,217
2020-06-02 20:00:00,233
2020-06-02 21:00:00,237
2020-06-02 22:00:00,238
2020-06-02 23:00:00,328
2020-06-03 00:00:00,379
2020-06-03 01:00:00,328
2020-06-03 02:00:00,372
2020-06-03 03:00:00,425
2020-06-03 04:00:00,688
2020-06-03 05:00:00,599
2020-06-03 06:00:00,310
2020-06-03 07:00:00,200
2020-06-03 08:00:00,161
2020-06-03 09:00:00,146
2020-06-03 10:00:00,111
2020-06-03 11:00:00,98
2020-06-03 12:00:00,120
2020-06-03 13:00:00,149
2020-06-03 14:00:00,140
2020-06-03 15:00:00,248
2020-06-03 16:00:00,239
2020-06-03 17:00:00,320
2020-06-03 18:00:00,344
2020-06-03 19:00:00,406
2020-06-03 20:00:00,377
2020-06-03 21:00:00,335
2020-06-03 22:00:00,295
2020-06-03 23:00:00,289
2020-06-04 00:00:00,225
2020-06-04 01:00:00,242
2020-06-04 02:00:00,245
2020-06-04 03:00:00,449
2020-06-04 04:00:00,776
2020-06-04 05:00:00,946
2020-06-04 06:00:00,605
2020-06-04 07:00:00,413
2020-06-04 08:00:00,295
2020-06-04 09:00:00,324
2020-06-04 10:00:00,297
2020-06-04 11:00:00,300
2020-06-04 12:00:00,290
2020-06-04 13:00:00,322
2020-06-04 14:00:00,321
2020-06-04 15:00:00,216
2020-06-04 16:00:00,197
2020-06-04 17:00:00,280
2020-06-04 18:00:00,308
2020-06-04 19:00:00,312
2020-06-04 20:00:00,382
2020-06-04 21:00:00,535
2020-06-04 22:00:00,317
2020-06-04 23:00:00,367
2020-06-05 00:00:00,472
2020-06-05 01:00:00,434
2020-06-05 02:00:00,362
2020-06-05 03:00:00,310
2020-06-05 04:00:00,254
2020-06-05 05:00:00,238
2020-06-05 06:00:00,220
2020-06-05 07:00:00,185
2020-06-05 08:00:00,172
2020-06-05 09:00:00,154
2020-06-05 10:00:00,143
2020-06-05 11:00:00,120
2020-06-05 12:00:00,138
2020-06-05 13:00:00,147
2020-06-05 14:00:00,178
2020-06-05 15:00:00,220
2020-06-05 16:00:00,180
2020-06-05 17:00:00,244
2020-06-05 18:00:00,341
2020-06-05 19:00:00,608
2020-06-05 20:00:00,631
2020-06-05 21:00:00,718
2020-06-05 22:00:00,564
2020-06-05 23:00:00,434
2020-06-06 00:00:00,409
2020-06-06 01:00:00,331
2020-06-06 02:00:00,371
2020-06-06 03:00:00,304
2020-06-06 04:00:00,220
2020-06-06 05:00:00,261
2020-06-06 06:00:00,177
2020-06-06 07:00:00,168
2020-06-06 08:00:00,163
2020-06-06 09:00:00,204
2020-06-06 10:00:00,184
2020-06-06 11:00:00,146
2020-06-06 12:00:00,169
2020-06-06 13:00:00,195
2020-06-06 14:00:00,236
2020-06-06 15:00:00,247
2020-06-06 16:00:00,247
2020-06-06 17:00:00,252
2020-06-06 18:00:00,314
2020-06-06 19:00:00,282
2020-06-06 20:00:00,182
2020-06-06 21:00:00,167
2020-06-06 22:00:00,157
2020-06-06 23:00:00,160
2020-06-07 00:00:00,154
2020-06-07 01:00:00,140
2020-06-07 02:00:00,142
2020-06-07 03:00:00,169
2020-06-07 04:00:00,161
2020-06-07 05:00:00,149
2020-06-07 06:00:00,141
2020-06-07 07:00:00,151
2020-06-07 08:00:00,126
2020-06-07 09:00:00,94
2020-06-07 10:00:00,98
2020-06-07 11:00:00,144
2020-06-07 12:00:00,179
2020-06-07 13:00:00,165
2020-06-07 14:00:00,155
2020-06-07 15:00:00,136
2020-06-07 16:00:00,226
2020-06-07 17:00:00,383
2020-06-07 18:00:00,297
2020-06-07 19:00:00,526
2020-06-07 20:00:00,561
2020-06-07 21:00:00,402
2020-06-07 22:00:00,366
2020-06-07 23:00:00,323
2020-06-08 00:00:00,390
2020-06-08 01:00:00,455
2020-06-08 02:00:00,667
2020-06-08 03:00:00,715
2020-06-08 04:00:00,632
2020-06-08 05:00:00,589
2020-06-08 06:00:00,415
2020-06-08 07:00:00,259
2020-06-08 08:00:00,226
2020-06-08 09:00:00,233
2020-06-08 10:00:00,214
2020-06-08 11:00:00,201
2020-06-08 12:00:00,207
2020-06-08 13:00:00,231
2020-06-08 14:00:00,184
2020-06-08 15:00:00,232
2020-06-08 16:00:00,216
2020-06-08 17:00:00,253
2020-06-08 18:00:00,375
2020-06-08 19:00:00,378
2020-06-08 20:00:00,383
2020-06-08 21:00:00,353
2020-06-08 22:00:00,262
2020-06-08 23:00:00,187
2020-06-09 00:00:00,166
2020-06-09 01:00:00,182
2020-06-09 02:00:00,189
2020-06-09 03:00:00,194
2020-06-09 04:00:00,181
2020-06-09 05:00:00,184
2020-06-09 06:00:00,286
2020-06-09 07:00:00,315
2020-06-09 08:00:00,258
2020-06-09 09:00:00,193
2020-06-09 10:00:00,151
2020-06-09 11:00:00,138
2020-06-09 12:00:00,159
2020-06-09 13:00:00,175
2020-06-09 14:00:00,163
2020-06-09 15:00:00,284
2020-06-09 16:00:00,182
2020-06-09 17:00:00,170
2020-06-09 18:00:00,138
2020-06-09 19:00:00,155
2020-06-09 20:00:00,147
2020-06-09 21:00:00,180
2020-06-09 22:00:00,161
2020-06-09 23:00:00,148
2020-06-10 00:00:00,183
2020-06-10 01:00:00,214
2020-06-10 02:00:00,226
2020-06-10 03:00:00,291
2020-06-10 04:00:00,293
2020-06-10 05:00:00,331
2020-06-10 06:00:00,257
2020-06-10 07:00:00,261
2020-06-10 08:00:00,166
2020-06-10 09:00:00,171
2020-06-10 10:00:00,142
2020-06-10 11:00:00,194
2020-06-10 12:00:00,157
2020-06-10 13:00:00,152
2020-06-10 14:00:00,165
2020-06-10 15:00:00,178
2020-06-10 16:00:00,251
2020-06-10 17:00:00,288
2020-06-10 18:00:00,161
2020-06-10 19:00:00,178
2020-06-10 20:00:00,200
2020-06-10 21:00:00,162
2020-06-10 22:00:00,119
2020-06-10 23:00:00,99
2020-06-11 00:00:00,99
2020-06-11 01:00:00,94
2020-06-11 02:00:00,66
2020-06-11 03:00:00,68
2020-06-11 04:00:00,69
2020-06-11 05:00:00,93
2020-06-11 06:00:00,98
2020-06-11 07:00:00,176
2020-06-11 08:00:00,168
2020-06-11 09:00:00,151
2020-06-11 10:00:00,219
2020-06-11 11:00:00,340
2020-06-11 12:00:00,303
2020-06-11 13:00:00,254
2020-06-11 14:00:00,317
2020-06-11 15:00:00,166
2020-06-11 16:00:00,109
2020-06-11 17:00:00,145
2020-06-11 18:00:00,149
2020-06-11 19:00:00,184
2020-06-11 20:00:00,285
2020-06-11 21:00:00,394
2020-06-11 22:00:00,208
2020-06-11 23:00:00,198
2020-06-12 00:00:00,166
2020-06-12 01:00:00,123
2020-06-12 02:00:00,97
2020-06-12 03:00:00,83
2020-06-12 04:00:00,104
2020-06-12 05:00:00,67
2020-06-12 06:00:00,76
2020-06-12 07:00:00,72
2020-06-12 08:00:00,73
2020-06-12 09:00:00,110
2020-06-12 10:00:00,144
2020-06-12 11:00:00,254
2020-06-12 12:00:00,278
2020-06-12 13:00:00,314
2020-06-12 14:00:00,361
2020-06-12 15:00:00,443
2020-06-12 16:00:00,295
2020-06-12 17:00:00,215
2020-06-12 18:00:00,237
2020-06-12 19:00:00,224
2020-06-12 20:00:00,207
2020-06-12 21:00:00,166
2020-06-12 22:00:00,149
2020-06-12 23:00:00,124
2020-06-13 00:00:00,117
2020-06-13 01:00:00,120
2020-06-13 02:00:00,218
2020-06-13 03:00:00,172
2020-06-13 04:00:00,111
2020-06-13 05:00:00,98
2020-06-13 06:00:00,90
2020-06-13 07:00:00,66
2020-06-13 08:00:00,60
2020-06-13 09:00:00,66
2020-06-13 10:00:00,74
2020-06-13 11:00:00,66
2020-06-13 12:00:00,46
2020-06-13 13:00:00,48
2020-06-13 14:00:00,63
2020-06-13 15:00:00,74
2020-06-13 16:00:00,69
2020-06-13 17:00:00,97
2020-06-13 18:00:00,92
2020-06-13 19:00:00,112
2020-06-13 20:00:00,123
2020-06-13 21:00:00,103
2020-06-13 22:00:00,124
2020-06-13 23:00:00,117
2020-06-14 00:00:00,123
2020-06-14 01:00:00,262
2020-06-14 02:00:00,346
2020-06-14 03:00:00,161
2020-06-14 04:00:00,163
2020-06-14 05:00:00,122
2020-06-14 06:00:00,165
2020-06-14 07:00:00,143
2020-06-14 08:00:00,104
2020-06-14 09:00:00,80
2020-06-14 10:00:00,87
2020-06-14 11:00:00,91
2020-06-14 12:00:00,83
2020-06-14 13:00:00,90
2020-06-14 14:00:00,101
2020-06-14 15:00:00,75
2020-06-14 16:00:00,84
2020-06-14 17:00:00,80
2020-06-14 18:00:00,93
2020-06-14 19:00:00,102
2020-06-14 20:00:00,113
2020-06-14 21:00:00,108
2020-06-14 22:00:00,162
2020-06-14 23:00:00,193
2020-06-15 00:00:00,165
2020-06-15 01:00:00,101
2020-06-15 02:00:00,106
2020-06-15 03:00:00,80
2020-06-15 04:00:00,63
2020-06-15 05:00:00,63
2020-06-15 06:00:00,53
2020-06-15 07:00:00,38
2020-06-15 08:00:00,37
2020-06-15 09:00:00,23
2020-06-15 10:00:00,33
2020-06-15 11:00:00,49
2020-06-15 12:00:00,47
2020-06-15 13:00:00,43
2020-06-15 14:00:00,51
2020-06-15 15:00:00,54
2020-06-15 16:00:00,52
2020-06-15 17:00:00,74
2020-06-15 18:00:00,46
2020-06-15 19:00:00,63
2020-06-15 20:00:00,68
2020-06-15 21:00:00,81
2020-06-15 22:00:00,98
2020-06-15 23:00:00,132
2020-06-16 00:00:00,220
2020-06-16 01:00:00,246
2020-06-16 02:00:00,287
2020-06-16 03:00:00,220
2020-06-16 04:00:00,194
2020-06-16 05:00:00,125
2020-06-16 06:00:00,82
2020-06-16 07:00:00,94
2020-06-16 08:00:00,67
2020-06-16 09:00:00,208
2020-06-16 10:00:00,170
2020-06-16 11:00:00,115
2020-06-16 12:00:00,96
2020-06-16 13:00:00,109
2020-06-16 14:00:00,101
2020-06-16 15:00:00,102
2020-06-16 16:00:00,93
2020-06-16 17:00:00,127
2020-06-16 18:00:00,147
2020-06-16 19:00:00,218
2020-06-16 20:00:00,261
2020-06-16 21:00:00,255
2020-06-16 22:00:00,183
2020-06-16 23:00:00,114
2020-06-17 00:00:00,103
2020-06-17 01:00:00,102
2020-06-17 02:00:00,89
2020-06-17 03:00:00,133
2020-06-17 04:00:00,155
2020-06-17 05:00:00,132
2020-06-17 06:00:00,94
2020-06-17 07:00:00,77
2020-06-17 08:00:00,55
2020-06-17 09:00:00,36
2020-06-17 10:00:00,39
2020-06-17 11:00:00,40
2020-06-17 12:00:00,39
2020-06-17 13:00:00,58
2020-06-17 14:00:00,68
2020-06-17 15:00:00,70
2020-06-17 16:00:00,62
2020-06-17 17:00:00,56
2020-06-17 18:00:00,63
2020-06-17 19:00:00,43
2020-06-17 20:00:00,55
2020-06-17 21:00:00,33
2020-06-17 22:00:00,26
2020-06-17 23:00:00,73
2020-06-18 00:00:00,290
2020-06-18 01:00:00,376
2020-06-18 02:00:00,242
2020-06-18 03:00:00,172
2020-06-18 04:00:00,164
2020-06-18 05:00:00,127
2020-06-18 06:00:00,122
2020-06-18 07:00:00,68
2020-06-18 08:00:00,88
2020-06-18 09:00:00,63
2020-06-18 10:00:00,64
2020-06-18 11:00:00,41
2020-06-18 12:00:00,53
2020-06-18 13:00:00,57
2020-06-18 14:00:00,48
2020-06-18 15:00:00,64
2020-06-18 16:00:00,78
2020-06-18 17:00:00,87
2020-06-18 18:00:00,122
2020-06-18 19:00:00,138
2020-06-18 20:00:00,82
2020-06-18 21:00:00,98
2020-06-18 22:00:00,123
2020-06-18 23:00:00,120
2020-06-19 00:00:00,85
2020-06-19 01:00:00,77
2020-06-19 02:00:00,97
2020-06-19 03:00:00,92
2020-06-19 04:00:00,73
2020-06-19 05:00:00,78
2020-06-19 06:00:00,53
2020-06-19 07:00:00,39
2020-06-19 08:00:00,47
2020-06-19 09:00:00,42
2020-06-19 10:00:00,36
2020-06-19 11:00:00,35
2020-06-19 12:00:00,32
2020-06-19 13:00:00,30
2020-06-19 14:00:00,30
2020-06-19 15:00:00,31
2020-06-19 16:00:00,37
2020-06-19 17:00:00,27
2020-06-19 18:00:00,42
2020-06-19 19:00:00,59
2020-06-19 20:00:00,53
2020-06-19 21:00:00,46
2020-06-19 22:00:00,73
2020-06-19 23:00:00,55
2020-06-20 00:00:00,76
2020-06-20 01:00:00,37
